id,region,subregion,country,program_name,program_code,year,site_code,site_name,lat,lon,water_depth,sources,country_code
15,Pacific,Micronesia,Palau,Locally Managed Marine Area,LMMA,Oct-01,Helen Reef; Helen Reef,Helen Reef,2.43,131.624,,Wayne Andrew Email:  helenreef@palaunet.com,PLW
16,Pacific,Southwest Pacific,Solomon Islands,Locally Managed Marine Area,LMMA,2004,Maravagi MPA; FSPI SI/FSPI,Maravagi MPA,8.951,160.058,,silverio.wale@fspi.org.fj,SLB
17,Pacific,Southwest Pacific,Solomon Islands,Locally Managed Marine Area,LMMA,2004,Sisili MPA; FSPI SI/FSPI,Sisili MPA,8.999,160.103,,hugh.govan@fspi.org.fj,SLB
18,Asia,Southeast Asia,Vietnam,Socioeconomic,SOCMON,,4,Ha Long Bay,,,,,VNM
19,Americas,Eastern Caribbean,Barbados,Socioeconomic,SOCMON,,5,Barbados,13.16667,-59.53333,,Angela Watson,BRB
20,Americas,Mesoamerica,Belize,Socioeconomic,SOCMON,,6,MPAs of Belize,,,,Lindsay Garbutt,BLZ
21,Americas,Southern Tropical America,Colombia,Socioeconomic,SOCMON,,7,San Andres Islands,12.96667,-82.13333,,"Enriqueta Hawkins, Ernesto Connolly, Rixcie Newball, Claudia",COL
22,Americas,Eastern Caribbean,Dominica,Socioeconomic,SOCMON,,8,Soufriere Scotts Head Marine Reserve,15.425,-61.275,,Arun Madisetti,DMA
23,Americas,Mesoamerica,Guatemala,Socioeconomic,SOCMON,,9,Caribbean coast,15.4,-88.32,,Sergio Guzman,GTM
24,Americas,Northern Caribbean,Jamaica,Socioeconomic,SOCMON,,10,Negril Marine Park,18.22,-78.2,,Carl Hanson,JAM
25,Americas,Mesoamerica,Nicaragua,Socioeconomic,SOCMON,,11,Corn Island,12.16667,-83.03333,,Karen Joseph,NIC
26,Americas,Eastern Caribbean,Trinidad and Tobago,Socioeconomic,SOCMON,,12,Speyside,11.17,-60.32,,Kelly Mannette,TTO
28,Americas,Northern Caribbean,Jamaica,Socioeconomic,SOCMON,,14,Negril Marine Park,18.22,-78.2,,Carl Hanson,JAM
30,,,,Socioeconomic,SOCMON,,16,Caribbean-wide,,,,Nelson Andrade,
31,Americas,Southern Tropical America,Colombia,Socioeconomic,SOCMON,,17,Corales del Rosario and San Bernardo National Natural Park,10.98333,-74.28333,,Luz Londoño Díaz,COL
32,Americas,Mesoamerica,Belize,Socioeconomic,SOCMON,,18,Glover's Reef Atol,16.8,-87.78333,,"Janet Gibson, Liz Lauck, Bob Pomeroy",BLZ
34,Asia,Southeast Asia,Thailand,Socioeconomic,SOCMON,,20,Andaman Sea MPAs,,,,Derek Elias,THA
36,Americas,Mesoamerica,Mexico,Socioeconomic,SOCMON,,22,Sian Ka an Biosphere Reserve,19.5,-87.44,,Ileana Solares,MEX
37,Africa,Eastern Africa,Kenya,Socioeconomic,SOCMON,,23,Diani,-4.2949,39.5875,,,KEN
38,Africa,Eastern Africa,Kenya,Socioeconomic,SOCMON,,24,Msambweni,4.46667,39.4833,,"Mr. Muturi & Assistant Director, Mr. Godfrey Monor",KEN
39,Africa,Eastern Africa,Tanzania,Socioeconomic,SOCMON,,25,Tanga,5.25,39.25,,Mr. Lawrence Kuziwa,TZA
40,Africa,Eastern Africa,Tanzania,Socioeconomic,SOCMON,,26,Mtwara,10.2,40.2,,Milali Mwachuma,TZA
41,Asia,South Asia,India,Socioeconomic,SOCMON,,27,"Agatti Is, Lakshadweep",10.5,72,,Vineeta Hoon,IND
42,Asia,South Asia,India,Socioeconomic,SOCMON,,28,"Mahatma Gandhi National Park, Andamans",11.23333,92.58333,,Harry Andrews,IND
43,Asia,South Asia,Maldives,Socioeconomic,SOCMON,,29,Vaavu Atoll,3,73,,"Marie Saleem, Hussein Zahir",MDV
44,Asia,South Asia,Sri Lanka,Socioeconomic,SOCMON,,30,Bar Reef/ Kandakuliya and Unawatuna,8.38333,79.73333,,Arjan Rajasuriya,LKA
46,Americas,Mesoamerica,Mexico,Socioeconomic,SOCMON,,32,Mexico,,,,Ileana Solares,MEX
47,Americas,Mesoamerica,Belize,Socioeconomic,SOCMON,,33,Sarstoon Temash National Park,16,-88.55,,Gregory Choc,BLZ
48,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,1,Komodo National Park,-8.4,119.35,,Regional Coordinator: Michael Pido,IDN
49,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,2,Wakatobi National Park,-5.65,123.83,,Regional Coordinator: Michael Pido,IDN
50,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,3,Derawan District,-2.45,117.84,,Regional Coordinator: Michael Pido,IDN
51,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,4,Raja Ampat District,-1.47,127.67,,Regional Coordinator: Michael Pido,IDN
52,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,5,Bunaken National Park,1.62,124.76,,Regional Coordinator: Michael Pido,IDN
53,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,6,South Sulawesi,-5.15,119.41,,Regional Coordinator: Michael Pido,IDN
54,Asia,Southeast Asia,Philippines,Socioeconomic,SOCMON,,7,"Cebu, Philippines",10.31,123.9,,Regional Coordinator: Michael Pido,PHL
55,Asia,Southeast Asia,Philippines,Socioeconomic,SOCMON,,8,Mactan Island,10.3,124.05,,Regional Coordinator: Michael Pido,PHL
56,Asia,Southeast Asia,Philippines,Socioeconomic,SOCMON,,9,Olango Island,10.26,124.05,,Regional Coordinator: Michael Pido,PHL
57,Asia,Southeast Asia,Philippines,Socioeconomic,SOCMON,,10,Palaui Island,18.56,122.14,,Regional Coordinator: Michael Pido,PHL
58,Asia,Southeast Asia,Philippines,Socioeconomic,SOCMON,,11,Puerto Galera,13.5,120.95,,Regional Coordinator: Michael Pido,PHL
59,Asia,Southeast Asia,Indonesia,Socioeconomic,SOCMON,,12,Seribu Islands,-6.21,106.85,,Regional Coordinator: Michael Pido,IDN
60,Australia,Australia and Papua New Guinea,Papua New Guinea,Socioeconomic,SOCMON,,78,Paramana,-10.17,148,,Regional Coordinator: Caroline Vieux,PNG
61,Australia,Australia and Papua New Guinea,Papua New Guinea,Socioeconomic,SOCMON,,79,Milne Bay,-10.61,151.24,,Regional Coordinator: Caroline Vieux,PNG
8000959,Americas,Northern Caribbean,Bahamas,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1997, 1998",,Fernandez Bay 24N074W0007,24.01667023,-74.53333,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BHS
8000960,Americas,Eastern Caribbean,Barbados,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1999, 2000",,Bellairs North Reef 13N059W0019,13.19244003,-59.64044,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BRB
8000961,Americas,Eastern Caribbean,Barbados,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1999, 2000",,Bellairs Reef 13N059W0002,13.19167042,-59.645,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BRB
8000962,Americas,Eastern Caribbean,Barbados,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1999, 2000",,Bellairs South Reef 13N059W0020,13.19244003,-59.64044,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BRB
8000963,Americas,Mesoamerica,Belize,Caribbean Coastal Marine Productivity Program,CARICOMP,1997,,Calabash Cay 17N087W0006,17.27882957,-87.80533,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BLZ
8000964,Americas,Mesoamerica,Belize,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1997, 1999",,Carrie Bow Cay 16N088W0002,16.79999924,-88.08333,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BLZ
8000965,Americas,Northern Caribbean,Bermuda,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1997, 1998, 1999, 2000",,Hog Breaker Reef 32N064W0018,32.41667175,-64.81667,10,"Dulcie Linton, dmlinton@uwimona.edu.jm",BMU
8000966,Americas,Northern Caribbean,Bermuda,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1997, 1998, 1999, 2000",,Twin Breaker Reef 32N064W0025,32.46416855,-64.81556,,"Dulcie Linton, dmlinton@uwimona.edu.jm",BMU
8000968,,,Grand Cayman,Caribbean Coastal Marine Productivity Program,CARICOMP,"1995, 1997, 2000",,Grand Cayman 19N083W0001,19.31666946,-81.23333,,"Dulcie Linton, dmlinton@uwimona.edu.jm",CYM_GRA
8000970,,,Colombia (Atlantic),Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1996, 1997, 1998",,Chengue Bay 11N074W0010,11.33333015,-74.15,12,"Dulcie Linton, dmlinton@uwimona.edu.jm",COL_ATL
8000973,Americas,Northern Caribbean,Cuba,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1997",,Coco ( Cayo Coco / Cayo Guillermo ) 22N078W0001,22.53333092,-78.41667,,"Dulcie Linton, dmlinton@uwimona.edu.jm",CUB
8000975,Americas,Northern Caribbean,Dominican Republic,Caribbean Coastal Marine Productivity Program,CARICOMP,"1996, 1997",,El Peñon Ande 18N068W0006,18.25399971,-68.77983,12,"Dulcie Linton, dmlinton@uwimona.edu.jm",DOM
8000976,Americas,Northern Caribbean,Jamaica,Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1996, 1997, 1999",,Discovery Bay 18N077W0001,18.45000076,-77.31667,8,"Dulcie Linton, dmlinton@uwimona.edu.jm",JAM
8000977,Americas,Mesoamerica,Mexico (Caribbean),Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1996, 1997, 1999",,Puerto Morelos 20N086W0011,20.83333015,-86.75,,"Dulcie Linton, dmlinton@uwimona.edu.jm",MEX_CRB
8000978,Americas,Eastern Caribbean,Netherlands Antilles,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1997",,Barcadera 12N068W0030,12.19583035,-68.3,12,"Dulcie Linton, dmlinton@uwimona.edu.jm",ANT
8000979,Americas,Eastern Caribbean,Netherlands Antilles (Windward),Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1994, 1995, 1996, 1998",,Ladder Labyrinth 17N063W0010,17.62667084,-63.25833,,"Dulcie Linton, dmlinton@uwimona.edu.jm",ANT_W
8000980,Americas,Eastern Caribbean,Netherlands Antilles (Leeward),Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995",,Spaanse Water ( Spanish Water ) 12N068W0028,12.05000019,-68.86667,,"Dulcie Linton, dmlinton@uwimona.edu.jm",ANT_L
8000981,,,Nicaragua (Atlantic),Caribbean Coastal Marine Productivity Program,CARICOMP,"1993, 1995, 1997, 1998",,Great Corn Island ( Isla del Maiz Grande ) 12N083W0008,12.10000038,-83.01667,15,"Dulcie Linton, dmlinton@uwimona.edu.jm",NIC_ATL
8000983,Americas,U.S. Caribbean,Puerto Rico,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1997, 1998, 1999",,Turrumote Reef 17N067W0015,17.95833015,-67.00833,13,"Dulcie Linton, dmlinton@uwimona.edu.jm",PRI
8000984,Americas,Eastern Caribbean,Trinidad and Tobago,Caribbean Coastal Marine Productivity Program,CARICOMP,"1994, 1995, 1996, 1998",,Buccoo Reef 11N060W0001,11.16666985,-60.85,,"Dulcie Linton, dmlinton@uwimona.edu.jm",TTO
8000988,Americas,Southern Tropical America,Venezuela,Caribbean Coastal Marine Productivity Program,CARICOMP,1995,,Ballena Point ( Punta Ballena ) 10N063W0001,10.99806023,-63.77,,"Dulcie Linton, dmlinton@uwimona.edu.jm",VEN
8000989,Americas,Southern Tropical America,Venezuela,Caribbean Coastal Marine Productivity Program,CARICOMP,"1995, 1996, 1997,1998, 1999, 2000",,Caiman Beach ( Playa Caiman ) 10N068W0008,10.88333035,-68.23333,,"Dulcie Linton, dmlinton@uwimona.edu.jm",VEN
8000990,Americas,Southern Tropical America,Venezuela,Caribbean Coastal Marine Productivity Program,CARICOMP,"1995, 1996, 1997,1998, 1999, 2000",,Sombrero Cay ( Cayo Sombrero ) 10N068W0004,10.86666965,-68.2,,"Dulcie Linton, dmlinton@uwimona.edu.jm",VEN
8004482,,,Costa (Atlantic),Caribbean Coastal Marine Productivity Program,CARICOMP,"1999, 2000",,Cahuita and Laguna Gandoca,9.748000145,-82.81,,"Dulcie Linton, dmlinton@uwimona.edu.jm",CRI_ATL
9000000,Asia,Southeast Asia,Indonesia,Reef Check,RC,2000,05.43.25.9S.123.53.50.3E,Waha Jetty Tomea (site 4),-5.723861111,123.8973056,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000001,Asia,Southeast Asia,Indonesia,Reef Check,RC,2000,05.46.13.0S.123.45.4.98E,Karang Kaledupa atoll (site 6),-5.770277778,123.7513833,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000002,Asia,Southeast Asia,Indonesia,Reef Check,RC,2000,05.46.18.5S.123.45.50.5E,Karang Kaledupa (Atoll),-5.771805556,123.7640278,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000003,Americas,Eastern Caribbean,Barbados,Reef Check,RC,2005,059.38W.13.11N,Folkestone Marine Park,13.18333333,-59.63333333,,"Reef Check Foundation, rcdata@reefcheck.org",BRB
9000004,Middle East,Red Sea - Gulf of Aden,Egypt,Reef Check,RC,"19,972,004",0N0E27,Jolanda Reef,27.72166667,34.25,,"Reef Check Foundation, rcdata@reefcheck.org",EGY
9000005,Asia,Southeast Asia,Malaysia,Reef Check,RC,1998,0N0E3,Turtle Bay,,,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000006,Americas,Eastern Caribbean,Barbados,Reef Check,RC,1997,0N0W3,Bell Buoys,,,,"Reef Check Foundation, rcdata@reefcheck.org",BRB
9000007,Americas,U.S. Caribbean,Florida (USA),Reef Check,RC,1997,0N0W5,Dania Reef,,,,"Reef Check Foundation, rcdata@reefcheck.org",USA_FLO
9000008,Americas,Eastern Caribbean,Barbados,Reef Check,RC,1997,0N0W7,Sewage,,,,"Reef Check Foundation, rcdata@reefcheck.org",BRB
9000009,Americas,U.S. Caribbean,Florida (USA),Reef Check,RC,1998,0N0W8,Horseshoe Reef,,,,"Reef Check Foundation, rcdata@reefcheck.org",USA_FLO
9000010,Asia,South Asia,Maldives,Reef Check,RC,1997,0S73E1,Addoo,-0.686666667,73.14916667,,"Reef Check Foundation, rcdata@reefcheck.org",MDV
9000011,Asia,South Asia,Maldives,Reef Check,RC,1997,0S73E2,Addoo,-0.66,73.19583333,,"Reef Check Foundation, rcdata@reefcheck.org",MDV
9000012,Asia,South Asia,Maldives,Reef Check,RC,1997,0S73E3,Addoo,-0.605,73.16166667,,"Reef Check Foundation, rcdata@reefcheck.org",MDV
9000013,Asia,South Asia,Maldives,Reef Check,RC,1997,0S73E5,Addoo,-0.66,73.2075,,"Reef Check Foundation, rcdata@reefcheck.org",MDV
9000014,Asia,Southeast Asia,Indonesia,Reef Check,RC,2005,100.20.32.4E.0.59.32.6S,Pisang Gadang Island,-0.992388889,100.3423333,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000015,Asia,Southeast Asia,Indonesia,Reef Check,RC,2005,100.21.24.8E.0.7.56.3S,Sironjong Island,-0.132305556,100.3568889,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000016,Asia,Southeast Asia,Indonesia,Reef Check,RC,2005,100.21.9.7E.0.9.15.4S,Pagang Island,-0.154277778,100.3526944,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000017,Asia,Southeast Asia,Indonesia,Reef Check,RC,2000,100.35325E.1.13402S,Sironjong,-1.133888889,100.3533333,,"Reef Check Foundation, rcdata@reefcheck.org",IDN
9000018,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.39.200E.12.57.680N,Koh Leum,12.96133333,100.6533333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000019,Asia,Southeast Asia,Thailand,Reef Check,RC,2003,100.40.14.78E.12.56.53.89N,Koh Phai,12.94830556,100.6707778,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000020,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.40.460E.12.57.970N,Koh Phai,12.96616667,100.6743333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000021,Asia,Southeast Asia,Thailand,Reef Check,RC,2000,100.40.5E.12.52N,Koh Man Wichai,12.86666667,100.675,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000022,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.57.400E.12.30.420N,Koh Joung (upper),12.507,100.9566667,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000023,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.57.600E.12.30.410N,Koh Joung (lower),12.50683333,100.96,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000024,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.58.550E.12.32.870N,Koh Chang-Keul (middle),12.54783333,100.9758333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000025,Asia,Southeast Asia,Thailand,Reef Check,RC,2001,100.58.550E.12.32.900N,Koh Chang-Keul (northeast),12.54833333,100.9758333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000026,Asia,Southeast Asia,Thailand,Reef Check,RC,2003,100.59.10.76E.12.57.45.55N,Leum Island (Ko Luam),12.96266667,100.653,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000027,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.17.0E.11.56.43N,Hin Luk Bat,11.94527778,102.2833333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000028,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.17.15E.11.56.42N,Hin Luk Bat,11.945,102.2875,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000029,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.21.43.8E.11.55.27N,Ko Khlum,11.92416667,102.3621667,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000030,Asia,Southeast Asia,Thailand,Reef Check,RC,"20,072,008",102.22.711E.11.48.310N,Koh Tien/Koh Thain West,11.80516667,102.3785278,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000031,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.23.0E.11.47.25N,Koh Mapring,11.79027778,102.3833333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000032,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.23.20E.11.47.50N,Koh Kra,11.79722222,102.3888889,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000033,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.23.36E.11.47.2N,Koh Yak Lek,11.78388889,102.3933333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000034,Asia,Southeast Asia,Thailand,Reef Check,RC,2007,102.23.784E.11.47.244N,Koh Yak,11.78738889,102.3963889,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000035,Asia,Southeast Asia,Thailand,Reef Check,RC,2007,102.24.173E.11.49.108N,Koh Thong Lang,11.81847222,102.4028889,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000036,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.24.4E.11.49.13N,Koh Yak Yai,11.82027778,102.4011111,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000037,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.24.9E.11.49.13N,Koh Thong Lang,11.82027778,102.4025,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000038,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.26.50E.11.49.23N,Koh Lom,11.82305556,102.4472222,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000039,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.27.17.4E.11.53.30.6N,Ko Bai Dang North,11.89183333,102.4548333,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000040,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.27.18.6E.11.53.3N,Ko Bai Dang,11.88416667,102.4551667,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000041,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.28.17E.11.54.4N,Hin Bai Dang,11.90111111,102.4713889,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000042,Asia,Southeast Asia,Thailand,Reef Check,RC,2006,102.32.40E.11.45.18N,Koh Kood,11.755,102.5444444,,"Reef Check Foundation, rcdata@reefcheck.org",THA
9000043,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,102.40.2.9E.5.56.28.4N,Pulau Susu Dara Besar,5.941222222,102.6674722,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000044,Asia,Southeast Asia,Malaysia,Reef Check,RC,"20,072,008",102.42.508E.5.57.143N,Sea Bell,5.952388889,102.7084722,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000045,Asia,Southeast Asia,Malaysia,Reef Check,RC,"200,320,072,008",102.43.23.4E.5.55.53.7N,Pulau Perhentian Kecil/D'Lagoon,5.931583333,102.7231667,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000046,Asia,Southeast Asia,Malaysia,Reef Check,RC,"20,072,008",102.43.29.1E.5.55.16.7N,Batu Nisan,5.921305556,102.72475,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000047,Asia,Southeast Asia,Malaysia,Reef Check,RC,2007,102.44.407E.5.54.208N,Coral View Reef,5.903472222,102.7401111,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000048,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,102.45.30.3E.5.55.23.7N,Tokong Burung,5.92325,102.7584167,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000049,Asia,Southeast Asia,Malaysia,Reef Check,RC,2008,102.45.498E.5.55.414N,Tanjung Besi,5.923555556,102.7583056,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000050,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,102.59.31E.5.48.11N,NW Redang,5.803055556,102.9919444,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000051,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,102.59.33E.5.46.25N,West Pinang/Tanjung Bakong,5.773611111,102.9925,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000052,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,102.59.50E.5.44.3N,East Pinang,5.734166667,102.9972222,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000053,Asia,Southeast Asia,Malaysia,Reef Check,RC,"20,072,008",102.59.59.4E.5.44.48.9N,Pulau Pinang Marine Park,5.746916667,102.9998333,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000054,Asia,Southeast Asia,Malaysia,Reef Check,RC,2008,103.0.37.3E.5.49.3.58N,Chagar Hutang East,5.817661111,103.0103611,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000055,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,103.01.41E.5.45.44N,Redang Kalong House Reef,5.762222222,103.0280556,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000056,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,103.01.56.8E.05.45.59.3N,"Pertigi Bay, Redang Island",5.766472222,103.0324444,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000057,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,103.01.59.9E.05.46.28.1N,"Tg Tengah Southside, Pasir Panjang, Redang Island",5.774472222,103.0333056,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000058,Asia,Southeast Asia,Malaysia,Reef Check,RC,2004,103.02.0.9E.5.46.33N,"Coral Resort House Reef, Redang Island",5.775833333,103.0335833,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000059,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,103.02.02E.5.46.38N,Coral Redang House Reef North,5.777222222,103.0338889,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000060,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,103.02.04E.5.46.10N,Mini Mount,5.769444444,103.0344444,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
9000061,Asia,Southeast Asia,Malaysia,Reef Check,RC,2003,103.02.08E.5.46.07N,Pulau Paku Kecil,5.768611111,103.0355556,,"Reef Check Foundation, rcdata@reefcheck.org",MYS
