id,region,subregion,country,location,lat,lon,month,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,bleaching_duration,mortality_code,mortality,recovery_code,recovery,survey_type,survey_area,water_temperature,other_factors,remarks,source,reference_code,country_code
27,Asia,Southeast Asia,Indonesia,"Barat National Park, Bali",-8.1979,114.4281,,1998,,3,HIGH,,,,,,,,,,,,,75-100%,"Wilkinson, Clive",0,IDN
28,Pacific,Southwest Pacific,Samoa,"Palolo Deep, nr Apia. Western Samoa",-13.8231,-171.7261,3,1998,,3,HIGH,Acroporidae,staghorn acropora,,,,,,,,,,,60-70% bleaching Also record for 2/20/98,NOAA database,0,WSM
29,Pacific,Micronesia,American Samoa,American Samoa,-14.3247,-170.6968,3,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,ASM
30,Americas,Southern Tropical America,Panama,Pacific Coast of Panama,7.2582,-80.3834,3,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,PAN
31,Australia,Australia and Papua New Guinea,Australia,Byron Bay (28.37S),-28.6591,153.6335,3,1998,15,2,Medium,Pocillopordae,Pocillopora damicornis,,,,,,,,,28-30,,,NOAA database,0,AUS
32,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Central GBR,-19.7141,149.37,4,1998,,3,HIGH,,,,,,high,,,,,,,,NOAA database,0,AUS_GBR
33,Americas,Southern Tropical America,Ecuador,Galapagos Archipelago,-0.7488,-90.7676,4,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,ECU
34,Americas,Southern Tropical America,Panama,Panama,8.4522,-79.0097,4,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,PAN
35,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,GBR,-19.4195,148.8477,4,1998,,2,Medium,Mussidae,"sarcophyton, sinularia, lobophytum",,,,,,,,,,,,NOAA database,0,AUS_GBR
36,Africa,Eastern Africa,Kenya,Lamu-Kiunga area,-1.7226,41.5222,4,1998,,2,Medium,Alcyoniidae,sinularia and alcyonium genera,,,,,,significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001),,,,,,Coral Listserver,0,KEN
37,Asia,South Asia,Sri Lanka,Sri Lanka,6.0985,81.2873,4,1998,,2,Medium,,,,,,,,,,,,,significant bleaching,NOAA database,0,LKA
38,Africa,Southwest Indian Ocean,R�union,Reunion,-21.1135,55.2526,4,1998,,2,Medium,"Acroporidae, Oculinidae, Pocillopordae","Acropora, Galaxea, Pocillopora",,,,,,,,,,,"reef flats at La Reunion, Mascarene islands",Coral Listserver,0,REU
39,Africa,Southwest Indian Ocean,Mayotte,Mayotte,-13.0668,45.1106,4,1998,,2,Medium,,,,,,,,,,,,,started southside that is enclosed but exposed to trade winds. North side cooler waters not effected as such.,Coral Listserver,0,MYT
40,Americas,Southern Tropical America,Brazil,northern coast of Bahia State,-13.6952,-38.9047,4,1998,9 to 12 m,3,HIGH,"Mussidae, Agaricidae, Siderastridae","Mussismilia hispida, Agaricia agaricites, Siderastrea stellata",,,,,0,by October all colonies recovered,,,29.5,,"90% of Mussismilia hispida bleached, 80% Agaricia agaricites and 70% Siderastrea stellata bleached.",Coral Listserver,0,BRA
41,Americas,Southern Tropical America,Panama,Gulf of Chiriqui region,7.9357,-82.0478,4,1998,,3,HIGH,,,,,,,,,,,29-31,,50% to 90% corals experienced at least partial bleaching,Coral Listserver,0,PAN
42,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.3347,55.7177,4,1998,,3,HIGH,,,,Feb - May,,,,,,,,,,NOAA database,0,SYC
43,Asia,Southeast Asia,Indonesia,Lombok Island,-8.2601,116.6871,5,1998,,3,HIGH,,,,,,,,,,,,,,NOAA database,0,IDN
44,Africa,Southwest Indian Ocean,Seychelles,Seychelles,-4.6461,55.4845,5,1998,,3,HIGH,,,,Feb - May,,,,,,,,,severe bleaching,NOAA database,0,SYC
45,Asia,South Asia,Sri Lanka,Sri Lanka,8.6961,79.8677,5,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,LKA
46,Asia,Southeast Asia,Indonesia,"Tulamben, Bali",-8.2727,115.6128,,1998,,3,HIGH,,,,,,,,,,,,,75-100%,"Wilkinson, Clive",0,IDN
47,Asia,Southeast Asia,Indonesia,"Karimunjawa, Java",-5.9013,110.5041,2,1998,,2,Medium,,,,,1,50-60% mortality of bleached corals,,,,,,,"0-46% at 3m, 1-25% at 10m","Wilkinson, Clive",0,IDN
48,Asia,Southeast Asia,Malaysia,"Pulau Gaya, Sabah",6.0361,116.0322,5,1998,1 to 2 m,2,Medium,"Acroporidae, Poritidae, Fungiidae, Mussidae","Branching acropora, Porites cylindrica, P. lutea, Psammocora digitata, fungia, lobophyllia",,,,,,,,,32,,affected 30 to 40% all live coral. Large branching acropora affected 90%,Coral Listserver,0,MYS
49,Australia,Australia and Papua New Guinea,Papua New Guinea,Papua New Guinea,-9.7357,147.3975,5,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,PNG
50,Asia,Southeast Asia,Cambodia,"Sihanoukville, Cambodia",10.6245,103.4935,5,1998,,3,HIGH,"Poritidae, Faviidae, Mussidae, Acroporidae, Pocillopordae","massive porites, faviids, mussiids, acropora, pocillopora",,,,,,,,,,,80%,NOAA database,0,KHM
51,Asia,Southeast Asia,Indonesia,Bali,-8.1036,115.0568,5,1998,,3,HIGH,,,,,,,,,,,,,severe bleaching,NOAA database,0,IDN
52,Asia,Southeast Asia,Indonesia,"Pemuteran, N.Bali",-8.1185,114.6278,5,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,IDN
53,Asia,South Asia,Sri Lanka,SW Coast of Sri Lanka,6.131,80.0725,5,1998,,3,HIGH,,,,,3,80% mortality (Conservation Biology 14(1);5-15),,,,,,,70 - 80% bleaching,Coral Listserver,0,LKA
54,Asia,South Asia,India,Gulf of Kutch on the northerly Gujarat coast,22.559,69.3347,5,1998,,2,Medium,,,,,,,,,,,,,10 to 30 % bleaching,Coral Listserver,0,IND
55,Middle East,Persian Gulf,Oman,"Muscat Area, Gulf of Oman",23.6306,58.5772,6,1998,,0,No Bleaching,,,,,,,,,,,30.5,,no bleaching,NOAA database,0,OMN
56,Asia,Southeast Asia,Indonesia,"W. of Lombok, Bali",-8.7243,115.9421,6,1998,,3,HIGH,,,,,,,,,,,,,severe bleaching,NOAA database,0,IDN
57,Asia,Southeast Asia,Indonesia,Nusa Lembongan (SE Bali),-8.6551,115.4559,6,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,IDN
58,Asia,Southeast Asia,Indonesia,Nusa Penida,-8.7144,115.6085,6,1998,,1,Low,,,,,,,,,,,,,reduced bleaching,NOAA database,0,IDN
59,Asia,Southeast Asia,Thailand,Andaman Sea,7.9892,98.2673,7,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,NOAA database,0,THA
60,Asia,Southeast Asia,Thailand,Chang,11.9538,102.363,4,1998,,2,Medium,,,,,,,,,,,32,,,Coral Listserver 07/01/98,0,THA
61,Asia,Southeast Asia,Thailand,Pha-ngan Islands,9.6827,100.0337,4,1998,,2,Medium,,,,,,,,,,,32,,,Coral Listserver 07/01/98,0,THA
62,Asia,Southeast Asia,Thailand,Tao,10.0531,99.8382,4,1998,,2,Medium,Pocilliporodae,Pocillopora damicornis,,,,,,,,,31-32,,80% Pocillopora damicornis bleached,Coral Listserver 07/01/98,0,THA
63,Middle East,Red Sea - Gulf of Aden,Israel,Mediterranean Coast of Israel,32.2411,34.7604,7,1998,,3,HIGH,Oculinidae,Oculina patagonica,,,,,,,,,,,80-90& bleached,NOAA database,0,ISR
64,Asia,Southeast Asia,Vietnam,Halong Bay,20.7752,107.1142,7,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,NOAA database,0,VNM
65,Asia,Southeast Asia,Vietnam,Hon Mun Island,12.1593,109.3135,7,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,NOAA database,0,VNM
66,Americas,Northern Caribbean,Bahamas,Bahamas,23.7413,-76.0054,8,1998,,1,Low,,,,,,,,,,,,,no-light bleaching,NOAA database,0,BHS
67,Asia,Southeast Asia,Indonesia,"Gili Islands, Lombok Strait",-8.3295,116.0603,3,1998,,3,HIGH,,,,,,,,,,,,,90%,"Wilkinson, Clive",0,IDN
68,Asia,North and East Asia,Japan,"Ishigaki Island, Japan",24.4741,124.1373,8,1998,,3,HIGH,,,,,3,62% decrease in live coral cover post bleaching,,,,,,,50-70%,"Wilkinson, Clive",0,JPN
69,Asia,North and East Asia,Japan,"Amakusa, Kyushu, Japan",32.4181,129.994,8,1998,,3,HIGH,,,,,,,,,,,,,50-70%,"Wilkinson, Clive",0,JPN
70,Asia,South Asia,Maldives,South  Male Atoll,3.9834,73.4262,8,1998,30m,3,HIGH,"Acroporidae, Poritidae, Fungiidae, Faviidae","sinularia, acropora, fungi, platygyra sp. Porites.",,,3,82% (Conservation Biology 14(1):5-15),,,,,30,,severe bleaching; 60-100%bleaching,NOAA database,0,MDV
71,Americas,Northern Caribbean,Bahamas,Bahamas,24.3301,-74.4642,8,1998,,2,Medium,,,,,,,,,,,,,Moderate bleaching,NOAA database,0,BHS
72,Americas,U.S. Caribbean,Florida (USA),Coffins Patch Light,24.6831,-80.9911,8,1998,6-7m,1,Low,Milleporidae,millepora sp. ,,,,,,,,,87-89 degrees F,,Minimal bleaching,NOAA database,0,USA_FLO
73,Asia,Southeast Asia,Philippines,"El Nido, North Palawan",11.1847,119.3872,8,1998,,3,HIGH,"Acroporidae, Poritidae","acropora, porites",,,,,,,,,32,,severe bleaching,NOAA database,0,PHL
74,Americas,Northern Caribbean,Bahamas,Lee Stocking Island,24.4994,-76.7142,8,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,BHS
75,Americas,U.S. Caribbean,Florida (USA),Florida Keys (inshore),23.1311,-81.3956,8,1998,,2,Medium,,,,,,,,,,,,,Moderate bleaching,NOAA database,0,USA_FLO
76,Americas,U.S. Caribbean,Florida (USA),Florida Keys (offshore),23.1311,-81.3956,8,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,USA_FLO
77,Americas,U.S. Caribbean,Florida (USA),Looe Key,24.55,-81.41,8,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,USA_FLO
78,Americas,U.S. Caribbean,Florida (USA),E. Sambo Key,24.4913,-81.6634,8,1998,,2,Medium,,,,,,,,,,,,,Moderate bleaching,NOAA database,0,USA_FLO
79,Middle East,Red Sea - Gulf of Aden,Yemen (Gulf of Aden),Gulf of Aden,12.0159,46.9841,8,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,NOAA database,0,YEM_ADE
80,Asia,Southeast Asia,Philippines,Philippines,10.8807,120.8045,8,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,PHL
81,Middle East,Persian Gulf,Oman,Southern Oman,20.2646,58.4244,8,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,OMN
82,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Southern Red Sea,14.409,42.9687,8,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,SAU
83,Asia,Southeast Asia,Philippines,Bolinao (northwest),16.31,119.77,8,1998,15,3,HIGH,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,,1,low,,,,,33-34,,primarily affects fragile forms. 75% bleaching if colony dominated by fragile forms.,Coral Listserver,0,PHL
84,Asia,Southeast Asia,Philippines,Puerto Galera (central Ph,13.54,120.76,8,1998,15,3,HIGH,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,,1,low,,,,,33-34,,primarily affects fragile forms. 75% bleaching if colony dominated by fragile forms.,Coral Listserver,0,PHL
85,Asia,Southeast Asia,Philippines,Palawan area,9.0889,118.2272,8,1998,15,3,HIGH,Acroporidae,"plating, branching and foliose forms. Mainly acropora, not porites",,,1,low,,,,,33-34,,primarily affects fragile forms. 75% bleaching if colony dominated by fragile forms.,Coral Listserver,0,PHL
86,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Arabian Gulf - Four nearshore patch reefs,27.3107,49.5072,8,1998,,3,HIGH,"Acroporidae, Poritidae, Faviidae","Acropora, porites, platygyra",,,3,95%,,,,,35.2 - 35.9,,"Widespread bleaching with 95% mortality of Acropora, water temps 35.2-35.9deg C",Coral Listserver,0,SAU
87,Asia,Southeast Asia,Malaysia,"Turtle Islands, Sabah",4.9736,118.3911,5,1998,,1,Low,,,,,,,,,,,,,minor to insignificant,"Wilkinson, Clive",0,MYS
88,Asia,Southeast Asia,Malaysia,"Semporna, Sabah",4.4939,118.6133,5,1998,,1,Low,,,,,,,,,,,,,minor to insignificant,"Wilkinson, Clive",0,MYS
89,Asia,Southeast Asia,Philippines,"Negros Island, Philipines",9.3272,122.747,7,1998,,3,HIGH,,,,,,,,,,,,,,"Wilkinson, Clive",0,PHL
90,Middle East,Red Sea - Gulf of Aden,Saudi Arabia,Arabian Gulf - One offshore patch reef,27.5,49.7,8,1998,,1,Low,"Acroporidae, Pocillopordae, Poritidae, Faviidae","acropora, pocillopora, porites, platygyra",,,,,,,,,33.7,,Minimal bleaching,Coral Listserver,0,SAU
91,Asia,Southeast Asia,Philippines,Silliman Marine Lab,9.2,123.34,8,1998,,2,Medium,Poritidae,Massive porites,,,,,,,,,,,Bleaching across top of massive porites,Coral Listserver,0,PHL
92,Americas,U.S. Caribbean,Florida (USA),"Sombrero Key, Florida",24.6324,-81.1111,8,1998,,3,HIGH,"Acroporidae, Milleporidae, Siderastridae","Acropora, millepora sp., erythropodium sp., palythoa caribaeorum, siderastrea siderea, diploria strigosa, colpophyllia natans",,,,,,,,,,,severe bleaching,Coral Listserver,0,USA_FLO
93,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Key (reef crest)",24.4929,-81.7118,8,1998,,3,HIGH,"Milleporidae, Acroporidae","Millepora, A. palmata",,,,,,,,,,,,NOAA database,0,USA_FLO
94,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Keys (back reef)",24.4934,-81.7084,8,1998,,3,HIGH,Acroporidae,A. palmata,,,,,,,,,,,,NOAA database,0,USA_FLO
95,Americas,U.S. Caribbean,Florida (USA),"Western Sambo Ecological Reserve, Florida Keys(offshore)",24.4927,-81.7166,8,1998,,2,Medium,"Faviidae, Siderastridae","M. annularis, Colpophyllia.natans, Siderastrea siderea",,,,,,,,,,,Moderate bleaching,NOAA database,0,USA_FLO
96,Americas,U.S. Caribbean,Florida (USA),Mid Channel Patch Reef in Hawks Channel,24.808,-80.823,8,1998,,2,Medium,Faviidae,"M. cavernosa, M. annularis",,,,,,,,,,,Moderate bleaching,NOAA database,0,USA_FLO
97,Americas,Northern Caribbean,Cayman Islands,Little Cayman,19.7231,-80.0463,8,1998,,2,Medium,,,,,,,,,,,,,"Acropora, montastrea, millepora",NOAA database,0,CYM
98,Australia,Australia and Papua New Guinea,Papua New Guinea,NE of Kimbe Bay. Island of New Britain (PNG),-4.9025,151.062,8,1998,165 ft,2,Medium,"Acroporidae, Poritidae, Faviidae, Fungiidae","Acropora, porites, platygyra, montipora, gonopora, sinularia, montastrea, alveopora, fungia",,,,,,,,,31-31.5,,75% acropora bleached,Coral Listserver,0,PNG
99,Americas,U.S. Caribbean,Puerto Rico,SW Puerto Rico,17.9878,-67.3075,8,1998,,0,No Bleaching,,,,,,,,,,,,,no bleaching,NOAA database,0,PRI
100,Americas,Northern Caribbean,Bahamas,Bahamas,25.1879,-77.0225,9,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,BHS
101,Americas,Mesoamerica,Belize,Belize,17.0022,-88.0101,9,1998,,2,Medium,,,,,,,,,,,,,moderate-severe,NOAA database,0,BLZ
102,Americas,Northern Caribbean,Bermuda,Bermuda,32.4254,-64.8485,9,1998,,0,No Bleaching,,,,,0,no mortality in evidence (GCRMN 2000 Chapter 15),,,,,,,no bleaching,NOAA database,0,BMU
103,Americas,Northern Caribbean,Jamaica,"Jamaica, Discovery Bay",18.4794,-77.3287,9,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,JAM
104,Asia,North and East Asia,Japan,Okinawa,26.4648,127.9899,9,1998,,3,HIGH,,,,,,,,,,,30,,severe bleaching,NOAA database,0,JPN
105,Americas,Mesoamerica,Belize,Crawl Caye,16.6186,-88.2309,9,1998,10ft,2,Medium,"Faviidae, Siderastridae","Montastrea annularis, sideastrea",,,,,,,,,warmer than body temp,,85% Montastrea annularis severly bleached,Coral Listserver,0,BLZ
106,Americas,Northern Caribbean,Cuba,Moal Boal,22,-78,9,1998,,1,Low,,,,,,,,,,,,,,NOAA database,0,CUB
107,Americas,U.S. Caribbean,Florida (USA),Ft. Lauderdale,26.1372,-80.0786,9,1998,,2,Medium,,,,,,,,,,,,,severe bleaching,NOAA database,0,USA_FLO
108,Americas,U.S. Caribbean,Florida (USA),Key Largo Dry Rocks,25.1247,-80.308,9,1998,,1,Low,,,,,,,,,,,,,some bleaching,Coral Listserver,0,USA_FLO
109,Americas,U.S. Caribbean,Florida (USA),"The Rocks, Florida Keys",25.1096,-80.36,6,1998,,3,HIGH,,,,,,low,,early signs of recovery in sept,,,32,,Severely bleached,Coral Listserver,0,USA_FLO
110,Americas,U.S. Caribbean,Florida (USA),Dry Tortugas,24.63,-82.86,9,1998,,2,Medium,,Colpophyllia natans,,,,,,,,,86-87 degrees F,,15 - 25% affected ,Coral Listserver,0,USA_FLO
111,Pacific,Micronesia,Palau,Palau,7.2143,134.2269,9,1998,50ft,3,HIGH,,,,,3,quarter to third of all corals died from bleaching (http://osdpd.noaa.gov/PSB/EPS/SST/data/als_bleaching.1.10.1999),,,,,87-89 degrees F,,75% corals bleached,Coral Listserver,0,PLW
112,Africa,Eastern Africa,Tanzania,Tanzania,-8.7242,39.5216,12,1998,,3,HIGH,,,,,,,,,,,,,70% bleaching,Coral Listserver,0,TZA
113,Asia,Southeast Asia,Philippines,"Honda Bay, Palawan",9.8664,118.78,12,1998,,3,HIGH,,,,,,,,,,,32,,70% bleaching,Coral Listserver,0,PHL
114,Asia,Southeast Asia,Philippines,"Port Barton, Palawan",10.484,119.2463,12,1998,,3,HIGH,,,,,,,,,,,32,,,Coral Listserver,0,PHL
115,Americas,U.S. Caribbean,Florida (USA),Looe Key Reef,24.58,-81.4,9,1998,45ft,2,Medium,"Acroporidae, Milleporidae","Acropora, millepora",,,,,,,,,,,100% acropora colonies bleached,Coral Listserver,0,USA_FLO
116,Asia,South Asia,Maldives,North Male,4.42,73.5,8,1998,,3,HIGH,"Acroporidae, Poritidae","Acropora, porites",,,3,90%,3,favourable reef recovery (CORDIO Newletter Oct 2001),,,,,90% coral bleached,Coral Listserver,0,MDV
117,Asia,South Asia,Maldives,South Male,3.8171,73.4243,8,1998,,3,HIGH,"Acroporidae, Poritidae","Acropora, porites",,,3,90%,,,,,,,90% coral bleached,Coral Listserver,0,MDV
118,Asia,South Asia,Maldives,Ari Atoll,3.8756,72.8433,8,1998,,3,HIGH,"Acroporidae, Poritidae","Acropora, porites",,,3,90%,,,,,,,90% coral bleached,Coral Listserver,0,MDV
119,Asia,South Asia,Maldives,Rasdhoo Atoll,4.2695,73.0096,8,1998,,3,HIGH,"Acroporidae, Poritidae","Acropora, porites",,,3,90%,,,,,,,90% coral bleached,Coral Listserver,0,MDV
120,Asia,Southeast Asia,Philippines,Batangas,13.7163,120.8504,9,1998,,2,Medium,,,,,,,,,,,,,Moderate bleaching,NOAA database,0,PHL
121,Asia,Southeast Asia,Philippines,Marinduque Island,13.2421,121.9158,9,1998,,3,HIGH,,,,,,,,,,,,,,NOAA database,0,PHL
122,Americas,Mesoamerica,Belize,Ambergris Caye,18.0048,-87.8997,9,1998,,3,HIGH,"Milleporidae, Poritidae, Faviidae, Siderastridae, Acroporidae","Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,,,,,,,,30-32,,severe bleaching,Coral Listserver,0,BLZ
123,Americas,Mesoamerica,Belize,Ranguana Pass,16.21,-88.18,9,1998,8,3,HIGH,"Milleporidae, Poritidae, Faviidae, Siderastridae, Acroporidae","Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,,,,,,,,30-32,,"fore reef, top reef and back reef of the main barrier reef",Coral Listserver,0,BLZ
124,Asia,Southeast Asia,Malaysia,"Spratly Islands, Malaysia",8.6366,111.924,7,1998,,3,HIGH,,,,,,,,,,,,,,"Wilkinson, Clive",0,MYS
125,Asia,Southeast Asia,Singapore,Singapore,1.2361,103.82,6,1998,,3,HIGH,,,,,,,2,some corals showed recovery,,,,,90% bleaching (GCRMN 2000),"Wilkinson, Clive",0,SGP
126,Asia,North and East Asia,Taiwan,"Peghu Islands, Taiwan",23.61,119.5819,6,1998,,2,Medium,,,,,2,20% died (GCRMN 2000),,,,,,,30-40%,"Wilkinson, Clive",0,TWN
127,Asia,Southeast Asia,Thailand,Narathiwat,6.4025,101.9067,4,1998,,2,Medium,,,,,,,,,,,,,widespread bleaching,"Wilkinson, Clive",0,THA
128,Americas,Mesoamerica,Belize,Glover's Reef Atoll,16.8086,-87.6901,10,1998,,3,HIGH,"Milleporidae, Poritidae, Faviidae, Siderastridae, Acroporidae","Millepora, scleractinian sp. Porites, montastrea, siderastrea, acropora",,,,,,,,,30-32,,"fore reef,top reef, back reef and patch reefs",Coral Listserver,0,BLZ
129,Americas,Northern Caribbean,Bahamas,Walker's Cay,27.2649,-78.4,9,1998,,3,HIGH,,,,,,,,,,,,,"great amount of coral that was bleached white, including many different types of coral",Coral Listserver,0,BHS
130,Americas,Eastern Caribbean,Netherlands Antilles,Bonaire,12.078,-68.2158,9,1998,25-100ft,2,Medium,Agaricidae,Agaricia lamarcki,,,,,,,,,30,,bleaching first noticed 11/03/97 as minimal then again 09/02/98 (source NOAA Database Id No 4 & 107),NOAA database,0,ANT
131,Americas,Mesoamerica,Belize,Alligator Caye,17.18,-88.08,9,1998,,2,Medium,,,,,,,,,,,,,25-30% bleached,NOAA database,0,BLZ
132,Americas,Mesoamerica,Belize,Calabash Caye,17.27,-87.82,9,1998,,2,Medium,,,,,,,,,,,,,25-30% bleached,NOAA database,0,BLZ
133,Americas,Mesoamerica,Belize,Gallows,17.4911,-88.0462,9,1998,,2,Medium,,,,,,,,,,,,,25-30% bleached,NOAA database,0,BLZ
134,Americas,Mesoamerica,Belize,Goffs Caye,17.33,-88.03,9,1998,,2,Medium,,,,,,,,,,,,,25-30% bleached,NOAA database,0,BLZ
